Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
A collaborative large language model for drug analysis.,Zhou H; Liu F; Wu J; Zhang W; Huang G; Clifton L; Eyre D; Luo H; Branson K; Schwab P; Wu X; Zheng Y; Thakur A; Clifton DA,"Large language models (LLMs), such as ChatGPT, have substantially helped in understanding human inquiries and generating textual content with human-level fluency. However, directly using LLMs in healthcare applications faces several problems. LLMs are prone to produce hallucinations, or fluent content that appears reasonable and genuine but that is factually incorrect. Ideally, the source of the generated content should be easily traced for clinicians to evaluate. We propose a knowledge-grounded collaborative large language model, DrugGPT, to make accurate, evidence-based and faithful recommendations that can be used for clinical decisions. DrugGPT incorporates diverse clinical-standard knowledge bases and introduces a collaborative mechanism that adaptively analyses inquiries, captures relevant knowledge sources and aligns these inquiries and knowledge sources when dealing with different drugs. We evaluate the proposed DrugGPT on drug recommendation, dosage recommendation, identification of adverse reactions, identification of potential drug-drug interactions and answering general pharmacology questions. DrugGPT outperforms a wide range of existing LLMs and achieves state-of-the-art performance across all metrics with fewer parameters than generic LLMs.",2025,Sep,Nat Biomed Eng,,,,,10.1038/s41551-025-01471-z,40987953,#47,Zhou 2025,"",LLM-driven MAS in clinical decision support; single LLM versus multi-agent framework
"GPT-4o in Nutrition for Inpatients Undergoing Post-Stroke Rehabilitation: Identifying Dietary Errors, Exploring Expert-AI Rationale Differences, and Structuring AI-Expert Collaboration.",García-Rudolph A; Hernandez-Pena E; Del Cacho N; Teixidó-Font C; Wright MA; Opisso E,"OBJECTIVE: Inpatients undergoing stroke rehabilitation experience high malnutrition rates, requiring strict dietary management. However, manual and time-pressured dietary provision can cause errors in diet composition, highlighting the need for innovation. Therefore, we aimed to evaluate whether GPT-4o can accurately identify dietary errors in hospital-based stroke rehabilitation menus, analyze differences in AI vs. expert rationale for decisions, and explore AI's potential role in clinical workflows through a structured collaboration framework. METHODS: A TRIPOD-compliant validation study analyzing 264 hospital-based menus designed for stroke rehabilitation inpatients requiring specialized diets (e.g., dysphagia, diabetes). GPT-4o's dietary compliance classifications were assessed using a structured 0-error, 1-error, and 2+ error framework, with expert dietitians as ground-truth in a rehabilitation hospital nutrition department, where expert dietitians selected menus from existing clinical practices for inpatients on specialized diets. AI-expert agreement, overall accuracy, sensitivity, and specificity in dietary error classification were assessed. AI vs. expert justifications were analyzed thematically to identify differences in decision rationale. Cohen's Kappa (95% CI) measured inter-rater reliability. Overall accuracy, sensitivity, and specificity were calculated using a 3 × 3 confusion matrix, comparing AI classifications (0-error, 1-error, 2+ error) to the expert-labeled ground truth. Thematic analysis categorized AI vs. expert justifications for flagged dietary errors. RESULTS: Out of 264 menus (1,000+ food items), 26 (9.8%) had discrepancies. Among these, 57.7% (15 cases) were PAS-based dysphagia diets, followed by diabetic (19.2%, 5 cases) and allergen-related (15.4%, 4 cases) diets. The remaining two cases involved low-sodium and low-fat diets. Cohen's Kappa: 0.892 (95% CI: 0.845-0.939, p < 0.001). 0-errors: Sensitivity 94.3%, specificity 100%; 1-error: Sensitivity 86.2%, specificity 96.6%; 2+-errors: Sensitivity 97.8%, specificity 92.6%. Thematic analysis revealed GPT-4o followed strict rule-based interpretations, whereas dietitians incorporated patient tolerance and food preparation considerations. CONCLUSION: GPT-4o demonstrated high accuracy but over-flagged violations, supporting its role as a prescreening tool with expert collaboration.",2026,May-Jun,J Am Nutr Assoc,45,4,310-321,,10.1080/27697061.2025.2571878,41091021,#52,García-Rudolph 2026,"",""
LLM-driven collaborative framework for knowledge-enhanced cancer pain assessment and management.,Liu H; Hu Y; Li D; Shi B; Niu Y; Zhang X; Zheng G; Li C; Wang L; Bao Y,"Due to its multi-factor mechanism, variable opioid response, and high-risk adverse reactions, cancer pain remains a major challenge in oncology. To overcome these obstacles, we have developed a collaboration framework based on large language models (LLMs): OncoPainBot. This framework can simulate the reasoning and decision-making of multiple clinical experts to conduct comprehensive cancer pain assessment and management. Our OncoPainBot integrates four specialized agents: Pain-Extraction, Pain-Mechanism Reasoning, Treatment-Planning, and Safety-Check, each corresponding to a unique clinical role. In this paper, we compare seven LLMs and three Retrieval-Augmented Generation(RAG) strategies to determine the optimal model configuration. The final framework was verified on 516 real-world electronic medical records of cancer pain collected. We tested our solution through multiple dimensions. Ultimately, Claude-4 combined with RAG achieved the best overall performance, demonstrating outstanding semantic consistency and evidence-based reasoning in multiple metrics. In clinical validation, OncoPainBot achieved a high degree of consistency between the generated reports and actual clinical documents, while maintaining a high decision-making accuracy (0.841) in the analgesic recommendation task. At the same time, our error analysis shows that most of the differences are caused by patient-specific factors and monitoring recommendations rather than incorrect drug selection, which demonstrates the reliability of our framework. OncoPainBot has demonstrated the feasibility of a cancer pain management system based on LLMs, providing a transparent, evidence-based, and clinical-based framework for personalized analgesic care.",2026,Jan,NPJ Digit Med,9,1,180,,10.1038/s41746-026-02362-6,41554973,#56,Liu 2026,"",LLM-driven MAS in clinical decision support
Bridging Data Gaps in Oncology: Large Language Models and Collaborative Filtering for Cancer Treatment Recommendations.,Tang T; Li A; Tan X; Ji Q; Si L; Bao L,"BACKGROUND: Patients with rare cancers face substantial challenges due to limited evidence-based treatment options, resulting from sparse clinical trials. Advances in large language models (LLMs) and recommendation algorithms offer new opportunities to utilize all clinical trial information to improve clinical decisions. METHODS: We used LLM to systematically extract and standardize more than 100,000 cancer trials from ClinicalTrials.gov. Each trial was annotated using a customized scoring system reflecting cancer-treatment interactions based on clinical outcomes and trial attributes. Using this structured data set, we implemented three state-of-the-art collaborative filtering algorithms to recommend potentially effective treatments across different cancer types. RESULTS: The LLM-driven data extraction process successfully generated a comprehensive and rigorously curated database from fragmented clinical trial information, covering 78 cancer types and 5,315 distinct interventions. Recommendation models demonstrated high predictive accuracy (cross-validated RMSE: 0.49-0.62) and identified clinically meaningful new treatments for melanoma, independently validated by oncology experts. CONCLUSIONS: Our study establishes a proof of concept demonstrating that the combination of LLMs with sophisticated recommendation algorithms can systematically identify novel and clinically plausible cancer treatments. This integrated approach may accelerate the identification of effective therapies for rare cancers, ultimately improving patient outcomes by generating evidence-based treatment recommendations where traditional data sources remain limited.",2025,Apr,medRxiv,,,,,10.1101/2025.04.07.25325243,40297440,#63,Tang 2025,"",LLM-driven MAS in clinical decision support
LLM-based multi-agent system for neuro-ophthalmic diagnosis and personalized treatment planning.,Wang W,"INTRODUCTION: Ophthalmic findings can non-invasively reflect nervous-system status. We present an LLM-based multi-agent framework that preserves diagnostic uncertainty to support neuro-ophthalmic screening and referral. METHODS: Heterogeneous inputs (clinical text/PDFs and optional fundus/OCT images) are normalized by an Information Collection Agent. A Diagnosis Agent ensembles multiple LLMs and, when available, a CNN image branch; outputs are aggregated with an uncertainty-aware fusion. RESULTS: Across a curated ophthalmic corpus, the multi-agent framework improves robustness over single-model baselines and produces multi-candidate distributions suitable for downstream triage and monitoring. DISCUSSION: Uncertainty-aware, multi-candidate predictions align with clinical decision-making under ambiguity and suggest future work on calibration and knowledge-layer fusion.",2025,,Front Neurosci,19,,1688509,,10.3389/fnins.2025.1688509,41122382,#64,Wang 2025,"",LLM-driven MAS in clinical decision support
CARE-AD: a multi-agent large language model framework for Alzheimer's disease prediction using longitudinal clinical notes.,Li R; Wang X; Berlowitz D; Mez J; Lin H; Yu H,"Large language models (LLMs) have shown promising capabilities across diverse domains, yet their application to complex clinical prediction tasks remains limited. In this study, we present CARE-AD (Collaborative Analysis and Risk Evaluation for Alzheimer's Disease), a multi-agent LLM-based framework for forecasting Alzheimer's disease (AD) onset by analyzing longitudinal electronic health record (EHR) notes. CARE-AD assigns specialized LLM agents to extract signs and symptoms relevant to AD and conduct domain-specific evaluations-emulating a collaborative diagnostic process. In a retrospective evaluation, CARE-AD achieved higher accuracy (0.53 vs. 0.26-0.45) than baseline single-model approaches in predicting AD risk 10 years prior to the first recorded diagnosis code. These findings highlight the feasibility of using multi-agent LLM systems to support early risk assessment for AD and motivate further research on their integration into clinical decision support workflows.",2025,Aug,NPJ Digit Med,8,1,541,,10.1038/s41746-025-01940-4,40849361,#65,Li 2025,"",LLM-driven MAS in clinical decision support
DruGagent: Multi-Agent Large Language Model-Based Reasoning for Drug-Target Interaction Prediction.,Inoue Y; Song T; Wang X; Luna A; Fu T,"Advancements in large language models (LLMs) allow them to address diverse questions using human-like interfaces. Still, limitations in their training prevent them from answering accurately in scenarios that could benefit from multiple perspectives. Multi-agent systems allow the resolution of questions to enhance result consistency and reliability. While drug-target interaction (DTI) prediction is important for drug discovery, existing approaches face challenges due to complex biological systems and the lack of interpretability needed for clinical applications. DrugAgent is a multi-agent LLM system for DTI prediction that combines multiple specialized perspectives with transparent reasoning. Our system adapts and extends existing multi-agent frameworks by (1) applying coordinator-based architecture to the DTI domain, (2) integrating domain-specific data sources, including ML predictions, knowledge graphs, and literature evidence, and (3) incorporating Chain-of-Thought (CoT) and ReAct (Reason+Act) frameworks for transparent DTI reasoning. We conducted comprehensive experiments using a kinase inhibitor dataset, where our multi-agent LLM method outperformed the non-reasoning multi-agent model (GPT-4o mini) by 45% in F1 score (0.514 vs 0.355). Through ablation studies, we demonstrated the contributions of each agent, with the AI agent being the most impactful, followed by the KG agent and search agent. Most importantly, our approach provides detailed, human-interpretable reasoning for each prediction by combining evidence from multiple sources - a critical feature for biomedical applications where understanding the rationale behind predictions is essential for clinical decision-making and regulatory compliance. Code is available at https://anonymous.4open.science/r/DrugAgent-B2EA.",2025,Apr,ArXiv,,,,,,40297237,#66,Inoue 2025,"",""
DeepGut: A collaborative multimodal large language model framework for digestive disease assisted diagnosis and treatment.,Wan XH; Liu MX; Zhang Y; Kou GJ; Xu LQ; Liu H; Yang XY; Zuo XL; Li YQ,"BACKGROUND: Gastrointestinal diseases have complex etiologies and clinical presentations. An accurate diagnosis requires physicians to integrate diverse information, including medical history, laboratory test results, and imaging findings. Existing artificial intelligence-assisted diagnostic tools are limited to single-modality information, resulting in recommendations that are often incomplete and may be associated with clinical or legal risks. AIM: To develop and evaluate a collaborative multimodal large language model (LLM) framework for clinical decision-making in digestive diseases. METHODS: In this observational study, DeepGut, a multimodal LLM collaborative diagnostic framework, was developed to integrate four distinct large models into a four-tiered structure. The framework sequentially accomplishes multimodal information extraction, logical ""chain"" construction, diagnostic and treatment suggestion generation, and risk analysis. The model was evaluated using objective metrics, which assess the reliability and comprehensiveness of model-generated results, and subjective expert opinions, which examine the effectiveness of the framework in assisting physicians. RESULTS: The diagnostic and treatment recommendations generated by the DeepGut framework achieved exceptional performance, with a diagnostic accuracy of 97.8%, diagnostic completeness of 93.9%, treatment plan accuracy of 95.2%, and treatment plan completeness of 98.0%, significantly surpassing the capabilities of single-modal LLM-based diagnostic tools. Experts evaluating the framework commended the completeness, relevance, and logical coherence of its outputs. However, the collaborative multimodal LLM approach resulted in increased input and output token counts, leading to higher computational costs and extended diagnostic times. CONCLUSION: The framework achieves successful integration of multimodal diagnostic data, demonstrating enhanced performance enabled by multimodal LLM collaboration, which opens new horizons for the clinical application of artificial intelligence-assisted technology.",2025,Aug,World J Gastroenterol,31,31,109948,,10.3748/wjg.v31.i31.109948,40901691,#68,Wan 2025,"",LLM-driven MAS in clinical decision support
Optimizing Order Sets With a Large Language Model-Powered Multiagent System.,Liu S; Huang SS; McCoy AB; Wright AP; Horst S; Wright A,"IMPORTANCE: Optimizing order sets is vital to enhance clinical decision support and improve patient care. Manual review is resource intensive and cannot timely identify potential improvements in order sets. OBJECTIVE: To develop and evaluate the utility of a large language model (LLM)-powered multiagent system in optimizing order sets. DESIGN, SETTING, AND PARTICIPANTS: A multiagent system was developed and evaluated between January 1, 2024, and December 31, 2024, which comprised agents for content critique, dynamic search, knowledge retrieval, medication verification, and suggestion summarization. A filter was developed to align suggestion usefulness scores with expert preferences. Experiment 1 evaluated 735 generated suggestions from a multiagent system developed for optimizing order sets, which were assessed by 3 physicians for 9 order sets and by 1 physician for 62 order sets. Experiment 2 implemented an LLM-as-a-judge approach to align generated suggestions with expert ratings and developed a filter to further refine the system's performance. The study was performed at Vanderbilt University Medical Center. A total of 735 suggestions for 71 order sets at VUMC were evaluated by 3 physicians. MAIN OUTCOMES AND MEASURES: The ratings of accuracy, usefulness, feasibility, and impact; interrater agreement; and alignment against historical ordering data. RESULTS: In evaluation 1 of experiment 1, the median values for the number of suggestions scoring 4 or higher at the order set level were 5 (IQR, 5-6) for the metrics of accuracy, 2 (IQR, 1-4) for usefulness, 1 (IQR, 0-3) for feasibility, and 1 (IQR, 0-2) for impact. Of 96 suggestions, 44 (46%; 95% CI, 36%-56%) aligned with historical ordering patterns. In evaluation 2 of experiment 1, 639 suggestions were generated for 62 order sets; 52 order sets had at least 1 useful suggestion, with a median of 2 (IQR, 1-3) useful suggestions. Overall, 122 suggestions (19%; 95% CI, 16%-22%) were rated as useful. After expert alignment, Cohen κ improved from 0.06 to 0.41. Filtering using the aligned scores reduced total suggestions by 29% while retaining 92% of useful suggestions. CONCLUSIONS AND RELEVANCE: In this cohort study of an LLM-powered multiagent system for optimizing order sets, leveraging LLMs and multiagent systems provided a scalable approach. Alignment with a small set of expert ratings significantly enhanced the LLM evaluation. Future research could refine reasoning capabilities and integrate useful suggestions into electronic health records, while engaging end-users as artificial intelligence-supported reviewers.",2025,Sep,JAMA Netw Open,8,9,e2533277,,10.1001/jamanetworkopen.2025.33277,40986301,#70,Liu 2025,"",""
Multi agent large language models for biomedical hypothesis generation in drug combination discovery.,Xu Q; Soto C; Shahnawaz M; Liu X; Jiang X; Kim Y,"Recent advancements in large language models (LLMs) have demonstrated their potential in scientific reasoning, but their ability to open-ended hypotheses in data-scarce domains remains underexplored. Here, we introduce Combinatorial Alzheimer's Disease Therapeutic Efficacy Decision (Coated-LLM), an AI-driven framework that is inspired by scientific collaboration to predict efficacious combinatorial therapy when data-driven prediction is infeasible. Coated-LLM employs multiple specialized LLM agents-Researcher, Reviewer s, and Moderator-to systematically generate and evaluate hypotheses through several in-context learning techniques. Using Alzheimer's disease (AD) as a test case, Coated-LLM outperformed traditional knowledge-based methods (accuracy: 0.74 vs. 0.52), with external validation achieving an accuracy of 0.82. In addition, a drug combination predicted from Coated-LLM was experimentally validated to significantly reduce amyloid aggregation in vitro. These findings highlight the potential of our framework to augment human reasoning in complex scientific reasoning tasks, offering a scalable approach for hypothesis generation in biomedical research.",2025,Dec,iScience,28,12,113984,,10.1016/j.isci.2025.113984,41362614,#71,Xu 2025,"",""
